Method,Author,Publication_DOI,Publication_Date,Ecosystem,Availability,Citations,Requires_Empties,Additional_Requirements,Technology_Suitability,Ambient_Basis,Method_Category,Approach_Description,Benchmarking_Summary,Can_Filter_Empties,Can_Ambient_Estimate,Can_Ambient_Correct,Can_Ambient_QC_Plot,Can_Ambient_Simulate,Other_Features,Notes,Bioconductor_Link,GitHub_Link
EmptyDrops,Lun et al. (2019),https://doi.org/10.1186/s13059-019-1662-y,22/3/2019,R; Cell Ranger v3.0.0+,Bioconductor; Cell Ranger,1237,Required,,Droplet-based scRNA-seq; Droplet-based snRNA-seq,Low total UMI count droplets,Empty droplet-like,Statistical difference of droplets from ambient profile used to call cells using Monte Carlo approach,Does not perform ambient correction,Yes,No,No,No,No,,,https://doi.org/doi:10.18129/B9.bioc.DropletUtils,
DecontX,Yang et al. (2020),https://doi.org/10.1186/s13059-020-1950-6,5/3/2020,R,Bioconductor; GitHub,667,Optional,Pre-clustering (required),Droplet-based scRNA-seq; Well-based scRNA-seq,With empty droplets: Low total UMI count droplets; No empty droplets: Droplet cluster assignments,Empty droplet-like; Expression profiling-like,Deconvolving cell and ambient counts using Bayesian variational inference,Recommended for datasets without empty droplets and well-based datasets,No,Yes,Yes,No,No,,,https://doi.org/doi:10.18129/B9.bioc.decontX,https://github.com/campbio/decontX
souporcell,Heaton et al. (2020),https://doi.org/10.1038/s41592-020-0820-1,4/5/2020,Command Line,Singularity,564,Required,Reads containing allele variants; BAM file,Droplet-based scRNA-seq,Allele variant fractions,Demultiplexing-like,Maximum likelihood used to estimate ambient contamination using allele fractions,Does not perform ambient correction,No,Yes,No,No,No,Genetic demultiplexing; Doublet detection,,,https://github.com/wheaton5/souporcell
DIEM,Alvarez et al. (2020),https://doi.org/10.1038/s41598-020-67513-5,3/7/2020,R,GitHub,106,Required,,Droplet-based scRNA-seq; Droplet-based snRNA-seq,Low total UMI count droplets,Empty droplet-like,Enrichment of ambient genes in clustered droplets determined using Expectation-Maximization algorithm,Does not perform ambient correction,Yes,Yes,No,No,No,,,,https://github.com/marcalva/diem
SoupX,Young and Behjati (2020),https://doi.org/10.1093/gigascience/giaa151,26/12/2020,R,CRAN; GitHub,1744,Required,Pre-clustering (optional),Droplet-based scRNA-seq,Low total UMI count droplets,Empty droplet-like,Maximum likelihood used to estimate contamination then subtract this from counts,Recommended if compute constraints present,No,No,Yes,No,No,,,,https://github.com/constantAmateur/SoupX
dropkick,Heiser et al. (2021),https://doi.org/10.1101/gr.271908.120,9/4/2021,Python; Command Line,pip; GitHub,53,Required,,Droplet-based scRNA-seq,Low dropout rate genes,Expression profiling-like,Multilevel thresholding on number of detected genes per droplet then logistic regression used to call cells,Does not perform ambient correction,Yes,Yes,No,Yes,No,,,,https://github.com/KenLauLab/dropkick
emptyNN,Yan et al. (2021),https://doi.org/10.1016/j.patter.2021.100311,20/7/2021,R,GitHub,16,Required,,Droplet-based scRNA-seq; Droplet-based snRNA-seq,Low total UMI count droplets,Empty droplet-like,Deep learning (positive-unlabelled learning),Does not perform ambient correction,Yes,No,No,No,No,,,,https://github.com/lkmklsmn/empty_nn
DropletQC,Muskovic and Powell (2021),https://doi.org/10.1186/s13059-021-02547-0,2/12/2021,R,GitHub,88,Required,BAM file,Droplet-based scRNA-seq,UMI counts and unspliced read fractions per droplet (nuclear fraction),Empty droplet-like,Empty droplets called using kernel density estimation; damaged cells called using Gaussian mixture model,Does not perform ambient correction,Yes,No,No,No,No,Filter damaged cells,,,https://github.com/powellgenomicslab/DropletQC
scAR,Sheng et al. (2022),https://doi.org/10.1101/2022.01.14.476312,24/3/2022,Python; Command Line,conda; pip; GitHub,36 (preprint),Required,,Droplet-based single-cell omics; Droplet-based scRNA-seq; Droplet-based snRNA-seq; Droplet-based scCRISPR-seq; Droplet-based scATAC-seq; Droplet-based CITE-seq,Low total UMI count droplets,Empty droplet-like,Deep generative model,Not recommended due to artificial count inflation,No,Yes,Yes,No,No,Assign sgRNAs to cells; Tag demultiplexing,,,https://github.com/Novartis/scar
SiftCell,Xi et al. (2023),https://doi.org/10.1016/j.cels.2023.06.002,19/7/2023,R,GitHub,3,Required,,Droplet-based scRNA-seq,Identifies confident cells based on UMI counts,Empty droplet-like,Count matrix permutation and XGBoost algorithm used to call cells; cell and ambient counts modelled as multinomial mixtures and ambient contamination estimated using maximum likelihood,Does not perform ambient correction,Yes,Yes,No,Yes,No,,,,https://github.com/jyxi7676/SiftCell
AmbiQuant,Arceneaux et al. (2023),https://doi.org/10.1016/j.isci.2023.107242,21/7/2023,Python,conda; GitHub,24,Required,,Droplet-based scRNA-seq,Low dropout rate genes,Expression profiling-like,AUC and secant-based statistics computed and plotted using barcode ranks and cumulative transcript count distributions,Does not perform ambient correction,No,Yes,No,Yes,No,,,,https://github.com/Ken-Lau-Lab/AmbiQuant
CellBender,Fleming et al. (2023),https://doi.org/10.1038/s41592-023-01943-7,7/8/2023,Command Line,conda; pip; GitHub,860,Required,GPU access (recommended),Droplet-based scRNA-seq; Droplet-based snRNA-seq; Droplet-based CITE-seq,Low total UMI count droplets,Empty droplet-like,Deep generative model,Recommended for raw droplet datasets if strong compute resources present,Yes,Yes,Yes,No,No,Correct barcode swapping,Simulation feature no longer available,,https://github.com/broadinstitute/CellBender
FastCAR,Berg et al. (2023),https://doi.org/10.1186/s12864-023-09822-3,29/11/2023,R,GitHub,24,Required,,Droplet-based scRNA-seq ,Low total UMI count droplets,Empty droplet-like,Subtraction of ambient gene counts from cell counts matrix if a gene's dropout rate in empty droplets exceeds user-specified allowable ambient fraction,Made for single-cell DGE context but limited benchmarking suggests mediocre performance,No,Yes,Selected genes only,Yes,No,,Corrects DGE-affecting genes only,,https://github.com/LungCellAtlas/FastCAR
scCDC,Wang et al. (2024),https://doi.org/10.1186/s13059-024-03284-w,23/5/2024,R,GitHub,16,Not required,Pre-clustering (required),Droplet-based scRNA-seq; Droplet-based snRNA-seq,Genes with significantly large entropy divergence in most cell clusters,Expression profiling-like,Youden-index method used to compute contamination threshold of each selected gene then subtract this from all cells,Similar use cases to DecontX but inferior performance,No,Yes,Selected genes only,No,No,,Corrects selected genes only,,https://github.com/ZJU-UoE-CCW-LAB/scCDC
CellClear,Huang et al. (2025),https://doi.org/10.1101/2024.08.05.606571,3/1/2025,Command Line,pip,2 (preprint),Required,,Droplet-based scRNA-seq,Genes with largest distance between counts in empty droplets and predicted counts from cell clusters,Expression profiling-like,Uses non-negative matrix factorisation (NMF) and AUROC-based metrics to identify ambient seed genes and correct counts of these in sample-specific manner,Not recommended due to artificial count inflation,No,Yes,Selected genes only,No,No,,Corrects selected genes only but affects entire count matrix due to NMF,,https://github.com/WhiteRabBio/CellClear
ambisim,Li et al. (2025),https://doi.org/10.21203/rs.3.rs-5977005/v1,10/2/2025,Command Line,GitHub,0 (preprint),Not required,Gene GTF file; Genotype VCF file; Genome FASTA file,Droplet-based scRNA+ATAC multiome,Allele variant fractions,Demultiplexing-like,Number of real allele variants that do not match assigned genotype of nucleus gives lower bound of ambient contamination present,Does not perform ambient correction,No,No,No,No,Yes,,,,https://github.com/marcalva/ambisim
CellBouncer,Schaefer et al. (2025),https://doi.org/10.1016/j.xgen.2026.101275,23/3/2025,Command Line,GitHub; Docker; conda,7,Required,Reads containing allele variants,Droplet-based scRNA-seq; Droplet-based scCRISPR-seq,Allele variant fractions,Demultiplexing-like,Variants that do not match known genotype of each droplet used to estimate ambient contamination; ambient counts subtracted to correct contamination,Not yet benchmarked,No,Yes,Yes,Yes,No,Genetic demultiplexing; Doublet detection; Find donor proportions; Assign sgRNAs to cells,,,https://github.com/nkschaefer/cellbouncer
